ID,Title of Artwork,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
,,2022,404 S. Stricker Street,,"Nether,MasPaz",Mural,in place,,Mount Clare Community Council,,,,,7/15/2022,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Approximate date,,"Male, Male",,,,Lowe's Home Improvement,,,,District 9,New Southwest/Mount Clare,Southwest Baltimore,,,,,,39.28299046670665,-76.64081832631827,12/8/2022 3:00pm
,,2022,1525 Ramsay Street,,Nether,Mural,in place,,Mount Clare Community Council,,,,,6/1/2022,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Approximate date,,Male,,,,,,,,District 9,New Southwest/Mount Clare,Southwest Baltimore,,,,,,39.28318822279169,-76.64145691661219,12/8/2022 3:00pm
,,2022,1737 W. Pratt Street,,"Nether,Arts + Parks",Mural,in place,,Mount Clare Community Council,,,,,3/12/2022,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Date from Mount Clare Community Council Instagram post,,Male,,,,,,,,District 9,New Southwest/Mount Clare,Southwest Baltimore,,,,,,39.28511272171275,-76.64485361634512,12/8/2022 3:00pm
,"""Community Fabric of Charles North""",2022,1815 Saint Paul Street,,Nether,Mural,in place,Private Property,Central Baltimore Partnership,,,"RodSzn,Reggie Lewis",,10/19/2022,,Baltimore,MD,21202,,North facing next to parking lot,,Outdoor,painted mural,,,,,,Male,,,,Public Art Across Maryland (Maryland State Arts Council),,,,District 12,Greenmount West,Midtown,,,,,,39.31032710392162,-76.61464752056332,12/8/2022 3:00pm
,[Birdland Mural],2022,420 E. 33rd Street,,Gaia,Mural,in place,,,,Birdland Murals,,,,,Baltimore,MD,21218,,,,Outdoor,painted mural,,,,,,Male,,,,,,,,District 14,Oakenshawe,Greater Charles Village/Barclay,,,,,,39.328555590526825,-76.60996827552634,12/8/2022 3:00pm
,[Calhoun and Ramsay Street Mural],2022, 402 S. Calhoun Street,,Nether,Mural,in place,,Mount Clare Community Council,,,,,6/15/2022,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Approximate date,,Male,,,,Lowe's Home Improvement,,,,District 9,New Southwest/Mount Clare,Southwest Baltimore,,,,,,39.28321532235889,-76.63947532333381,12/8/2022 3:00pm
,[Ellwood Park leaves mural],2022, 513 N. Potomac Street,,Andy Dahl,Mural,in place,Private Property,Southeast CDC,,,,,7/15/2022,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Approximate date based on understanding the mural was completed mid-summer 2022 ,,Male,,,,,,,,District 13,Ellwood Park/Monument,Madison/East End,,,,,,39.29730583418954,-76.57482108959893,12/8/2022 3:00pm
,[Fox Street Park Mural],2022, 306 W. 28th Street,,,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21218,Fox Street Park,Next to Fox Street Park,Fox Street Park,Outdoor,painted mural,,,,,,,,,,,,,,District 14,Remington,Medfield/Hampden/Woodberry/Remington,,,,,,39.32113833552615,-76.62203356856689,12/8/2022 3:00pm
,[Horse and cherry blossom mural],2022, 300 S. Calhoun Street,,Nether,Mural,in place,,Mount Clare Community Council,,,,,3/24/2022,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/CbfcT87uPmX/,,Male,,,,Lowe's Home Improvement,,,,District 9,New Southwest/Mount Clare,Southwest Baltimore,,,,,,39.284415021210016, -76.63954057255685,12/8/2022 3:00pm
,[White-tail deer mural],2022,354 S. Woodyear Street,,"Nether,Arts + Parks",Mural,in place,,Mount Clare Community Council,,,,,2/23/2022,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/CaU9dw6JAvD/,,Male,,,,,,,,District 9,New Southwest/Mount Clare,Southwest Baltimore,,,,,,39.28351688114712,-76.6386708807583,12/8/2022 3:00pm
